488	2457	345009435670052
483	2437	345009436449116
477	2417	345009437351563
472	2413	345009438224055
468	2422	345009439029428
469	2441	345009439835607
475	2463	345009440651703
482	2485	345009441448155
486	2495	345009442281534
490	2497	345009443127109
494	2486	345009443916476
495	2460	345009444726396
497	2438	345009445451501
500	2427	345009446283032
494	2428	345009447181768
495	2442	345009448003367
501	2464	345009448804747
509	2485	345009449586149
514	2502	345009450511775
517	2507	345009451348815
516	2496	345009452165154
511	2475	345009452993052
506	2449	345009453710864
504	2434	345009454519453
502	2432	345009455475749
496	2450	345009456294284
500	2472	345009457197790
504	2494	345009457948284
509	2506	345009458763769
514	2514	345009459573137
519	2504	345009460516701
522	2479	345009461342075
525	2461	345009462070190
521	2453	345009462855741
516	2457	345009463660740
513	2466	345009464464276
512	2489	345009465314962
511	2510	345009466169044
506	2522	345009466971677
504	2521	345009467774696
501	2502	345009468578663
499	2474	345009469390375
493	2446	345009470246992
488	2426	345009471074064
486	2415	345009471876715
486	2418	345009472455832
490	2429	345009473289170
499	2449	345009474152590
501	2470	345009474974209
497	2482	345009475800230
490	2482	345009476611314
484	2470	345009477383121
479	2449	345009478278654
478	2427	345009479112422
483	2420	345009479937149
490	2420	345009480746482
497	2429	345009481554667
499	2446	345009482385553
494	2462	345009483223361
492	2478	345009484028822
490	2486	345009484853042
496	2477	345009485652445
505	2452	345009486462415
512	2432	345009487352110
514	2423	345009488192799
518	2424	345009489003862
520	2438	345009489815087
523	2458	345009490636931
518	2475	345009491219513
518	2484	345009492044550
519	2488	345009492850733
521	2480	345009493651800
525	2457	345009494452275
529	2433	345009495285130
531	2417	345009496139812
531	2409	345009496961157
531	2411	345009497777818
531	2423	345009498580328
531	2436	345009499385284
525	2443	345009500219305
519	2446	345009501045005
516	2441	345009501698464
515	2428	345009502501299
518	2401	345009503330468
523	2382	345009504158079
530	2368	345009504961547
538	2365	345009505784323
546	2376	345009506584197
553	2392	345009507487010
556	2405	345009508324652
557	2413	345009509180221
554	2410	345009509968231
547	2401	345009510798246
542	2382	345009511600273
540	2357	345009512402983
539	2342	345009513237846
540	2341	345009514060001
546	2356	345009514870057
565	2380	345009515695741
583	2403	345009516493042
593	2420	345009517312328
595	2426	345009518149729
595	2424	345009518955858
588	2401	345009519761979
587	2392	345009520467253
591	2394	345009521329436
598	2397	345009522165358
613	2410	345009522970574
624	2429	345009523770503
631	2444	345009524573653
638	2453	345009525405846
641	2452	345009526261234
642	2442	345009527062660
635	2421	345009527870080
629	2397	345009528620907
625	2383	345009529427394
626	2372	345009530398851
633	2377	345009531245991
637	2391	345009532049597
639	2410	345009532852005
638	2425	345009533651112
633	2432	345009534458458
625	2427	345009535300806
620	2409	345009536220686
619	2382	345009537029421
619	2366	345009537841836
622	2361	345009538640788
627	2365	345009539244246
630	2374	345009540045958
629	2392	345009540887263
628	2410	345009541649570
629	2425	345009542448891
627	2430	345009543284177
620	2422	345009544086124
614	2401	345009544889960
607	2377	345009545729894
600	2372	345009546538119
596	2382	345009547430362
596	2396	345009548261661
596	2415	345009549078467
598	2426	345009549884805
597	2433	345009550729651
592	2427	345009551536425
588	2415	345009552369220
582	2396	345009553129969
580	2373	345009553734090
578	2361	345009554541460
576	2354	345009555517151
577	2366	345009556325668
573	2387	345009557229006
568	2414	345009557828847
568	2428	345009558647281
571	2435	345009559459492
573	2430	345009560311414
575	2408	345009561141045
582	2384	345009561948056
586	2367	345009562750262
588	2359	345009563496720
590	2364	345009564338915
589	2378	345009565192941
588	2392	345009566022788
580	2408	345009566833774
575	2421	345009567638404
572	2427	345009568352116
569	2423	345009569160472
563	2403	345009569981923
559	2378	345009570799132
553	2367	345009571604918
548	2368	345009572404490
543	2392	345009573231857
540	2424	345009574058717
534	2449	345009574888062
529	2457	345009575689548
526	2463	345009576498017
518	2451	345009577387234
514	2427	345009578127833
510	2407	345009578727290
505	2395	345009579550415
498	2389	345009580515969
498	2398	345009581330974
495	2418	345009582158155
491	2441	345009582853506
486	2451	345009583658703
481	2459	345009584480724
474	2458	345009585324966
471	2444	345009586175984
467	2419	345009586975578
463	2402	345009587785002
461	2396	345009588589689
456	2409	345009589353466
456	2426	345009590206861
450	2449	345009591034167
